RefCodeWebCode;Reference_Year;Ref_Code;Source;Web_Code;Web_Year;Web_Decade;Data_Status;From_Database;LATstand;LONGstand;LATabs;LONGabs;Country;ISO3;Hemisphere;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;Metanetwork;Plant_taxon_criterion;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion;Animal_taxon_criterion;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5
saavedra_et_al_2011_X_primack_1983_arthur;2011;saavedra_et_al_2011;NATURE;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
castro-urgal_et_al_2012_X_primack_1983_arthur;2012;castro-urgal_et_al_2012;BASIC_AND_APPLIED_ECOLOGY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
james_et_al_2012_X_primack_1983_arthur;2012;james_et_al_2012;NATURE;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
james_et_al_2012_X_primack_1983_arthur;2012;james_et_al_2012;NATURE;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
trojelsgaard_&_olesen_2012_X_primack_1983_arthur;2012;trojelsgaard_&_olesen_2012;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
dalsgaard_et_al_2013_X_primack_1983_arthur;2013;dalsgaard_et_al_2013;ECOGRAPHY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
chamberlain_et_al_2014_a_X_primack_1983_arthur;2014;chamberlain_et_al_2014_a;JOURNAL_OF_ECOLOGY;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
rohr_&_bacompte_2014_X_primack_1983_arthur;2014;rohr_&_bacompte_2014;AMERICAN_NATURALIST;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
rohr_&_bacompte_2014_X_primack_1983_arthur;2014;rohr_&_bacompte_2014;AMERICAN_NATURALIST;primack_1983_arthur;1983;1980;Reused;Yes;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
santamaria_et_al_2014_X_primack_1983_arthur;2014;santamaria_et_al_2014;ARCTIC_ANTARCTIC_AND_ALPINE_RESEARCH;primack_1983_arthur;1983;1980;Reused;No;-43.099;171.72;43.099;171.72;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
