RefCodeWebCode;Reference_Year;Ref_Code;Source;Web_Code;Web_Year;Web_Decade;Data_Status;From_Database;LATstand;LONGstand;LATabs;LONGabs;Country;ISO3;Hemisphere;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;Metanetwork;Plant_taxon_criterion;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion;Animal_taxon_criterion;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5
saavedra_et_al_2011_X_primack_1983_craigieburn;2011;saavedra_et_al_2011;NATURE;primack_1983_craigieburn;1983;1980;Reused;Yes;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
castro-urgal_et_al_2012_X_primack_1983_craigieburn;2012;castro-urgal_et_al_2012;BASIC_AND_APPLIED_ECOLOGY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
james_et_al_2012_X_primack_1983_craigieburn;2012;james_et_al_2012;NATURE;primack_1983_craigieburn;1983;1980;Reused;Yes;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
trojelsgaard_&_olesen_2012_X_primack_1983_craigieburn;2012;trojelsgaard_&_olesen_2012;GLOBAL_ECOLOGY_AND_BIOGEOGRAPHY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
dalsgaard_et_al_2013_X_primack_1983_craigieburn;2013;dalsgaard_et_al_2013;ECOGRAPHY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
chamberlain_et_al_2014_a_X_primack_1983_craigieburn;2014;chamberlain_et_al_2014_a;JOURNAL_OF_ECOLOGY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
rohr_&_bacompte_2014_X_primack_1983_craigieburn;2014;rohr_&_bacompte_2014;AMERICAN_NATURALIST;primack_1983_craigieburn;1983;1980;Reused;Yes;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
santamaria_et_al_2014_X_primack_1983_craigieburn;2014;santamaria_et_al_2014;ARCTIC_ANTARCTIC_AND_ALPINE_RESEARCH;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
stouffer_et_al_2014_X_primack_1983_craigieburn;2014;stouffer_et_al_2014;JOURNAL_OF_ECOLOGY;primack_1983_craigieburn;1983;1980;Reused;Yes;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
fontaine_&_thebault_2015_X_primack_1983_craigieburn;2015;fontaine_&_thebault_2015;POPULATION_ECOLOGY;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
emer_et_al_2016_X_primack_1983_craigieburn;2016;emer_et_al_2016;DIVERSITY_AND_DISTRIBUTIONS;primack_1983_craigieburn;1983;1980;Reused;Yes;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
sakai_et_al_2016_X_primack_1983_craigieburn;2016;sakai_et_al_2016;ROYAL_SOCIETY_OPEN_SCIENCE;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
takemoto_&_kajihara_2016_X_primack_1983_craigieburn;2016;takemoto_&_kajihara_2016;PLOS_ONE;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
nagaishi_&_takemoto_2018_X_primack_1983_craigieburn;2018;nagaishi_&_takemoto_2018;ROYAL_SOCIETY_OPEN_SCIENCE;primack_1983_craigieburn;1983;1980;Reused;Yes;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
cirtwill_et_al_2020_X_primack_1983_craigieburn;2020;cirtwill_et_al_2020;NEW_PHYTOLOGIST;primack_1983_craigieburn;1983;1980;Reused;No;-43.028;171.784;43.028;171.784;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2006_X_primack_1983_cass;2006;olesen_et_al_2006;JOURNAL_OF_THEORETICAL_BIOLOGY;primack_1983_cass;1983;1980;Reused;No;-42.95;171.566;42.95;171.566;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2007_a_X_primack_1983_cass;2007;olesen_et_al_2007_a;TAXON;primack_1983_cass;1983;1980;Reused;No;-42.95;171.566;42.95;171.566;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
olesen_et_al_2007_b_X_primack_1983_cass;2007;olesen_et_al_2007_b;PROCEEDINGS_OF_THE_NATIONAL_ACADEMY_OF_SCIENCES_OF_THE_UNITED_STATES_OF_AMERICA;primack_1983_cass;1983;1980;Reused;No;-42.95;171.566;42.95;171.566;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
santamaria_&_rodrigues-girones_2007_X_primack_1983_cass;2007;santamaria_&_rodrigues-girones_2007;PLOS_BIOLOGY;primack_1983_cass;1983;1980;Reused;No;-42.95;171.566;42.95;171.566;New Zealand;NZL;Southern;Oceania;Australasian;Montane_grasslands_and_shrublands;Southland_montane_grasslands;6;no;NER;Mixed;no;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects
