Web_Code;Use_Frequency;Publi_Year;Publi_Decade;Alt_Orig(m);LAT;LONG;Region;Country;ISO3;Hemisphere;Locality;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;First_Sampling_Year;Last_Sampling_Year;Seasons;Obs;Metanetwork;Plant_taxon_criterion?;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion?;Plant_selected_trait;Animal_taxon_criterion?;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5;Animal_trait_criterion?;Animal_selected_trait;Interaction-based_criterion?;Interaction-criterion;Sampling_hour_1;Sampling_hour_2;Sampling_hour_3;Sampling_months_1;Sampling_months_2;Sampling_months_3;Sampling_duration_months;Sampling_duration_years;Sampling_duration_days;Sampling_duration_hours;Sampling_unit;Used_Chapter_1;Data_Availability;Interact_Data;Network_Size(N);Rich_Plants;Plan_Not_Id;Rich_Users;User_Not_Id;Plan_Not_Id (%);User_Not_Id (%);Resol_Taxon_Plant_1;Resol_Taxon_User_1;Plant_No_Taxon;Plant_ID_Family;Plant_ID_Genus;Plant_ID_Species;Resol_Taxon_Plant_2;User_No_Taxon;User_ID_Phylum;User_ID_Class;User_ID_order;User_ID_Superfamily;User_ID_family;User_ID_Tribe;User_ID_Genus;User_ID_Species;Resol_Taxon_User_2;Dados_Abund_Plant;Dados_Abund_Users
clements_&_long_1923;26;1923;1920;;38.840;-105.044;Temperate;USA;USA;Northern;Pikes Peak, Colorado;NA;Nearctic;Temperate coniferous forests;Colorado Rockies forests;1920;1923;;see book: https://archive.org/details/experimentalpoll00clem/page/14/mode/2up;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;;;;individual plant;Yes;Yes;;335;60;;275;;0;0;100;100;;;;60;1;;;;;;;;;275;1;;
coelho_2013;2;2013;2010;;-13.811;-39.203;Tropical;Brazil;BRA;Southern;Reserva Ecológica da Michelin, Igrapiuna - BA;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Bahia coastal forests;2009;2011;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;04to08;;;18;1,5;;2133;individual plant;Yes;Yes;;31;18;;13;;0;0;100;100;;;;18;1;;;;;;;;;13;1;;
corcos_et_al_2020;1;2020;2020;;46.500;11.333;Temperate;Italy;ITA;Northern;Veneto and Trentino-Alto Adige;EU;Palearctic;Temperate coniferous forests;Alps conifer and mixed forests;2018;2018;"spring; summer";Species list but no interaction data;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to17;;;06to08;;;3;;5;40;individual plant;Yes;No;;520;370;;150;;0;0;100;100;;;;370;1;;;;;;;;;150;1;;
cotton_1998;6;1998;1990;;-3.816;-70.266;Tropical;Colombia;COL;Northern;Amacayacu National Park;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Iquitos varzea;1987;1989;;No data available;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;10to12;01to09;;24;2;;168;individual plant;Yes;No;;76;60;;16;;0;0;100;100;;;;60;1;;;;;;;;;16;1;;
cuartas-hernandez_&_medel_2015;1;2015;2010;;5.500;-75.850;Tropical;Colombia;COL;Northern;Reserva Natural La Mesenia;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Cauca Valley montane forests;2010;2011;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to17;;;10to12;01to05;;8;;;512;individual plant;Yes;No;;117;42;;75;;0;0;100;100;;;;42;1;;;;;;;;;75;1;;
cusser_&_goodell_2013;1;2013;2010;;39.824;-81.748;Temperate;USA;USA;Northern;The Wilds, Muskingum County - OH;NA;Nearctic;Temperate broadleaf and mixed forests;Appalachian mixed mesophytic forests;2010;2010;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;08to16;;;06to08;;;3;;;;individual plant;Yes;No;;150;47;;103;;0;0;100;100;;;;47;1;;;;;;;;;103;1;;
cusser_et_al_2019;1;2019;2010;;28.847;-96.892;Temperate;USA;USA;Northern;Gulf Cost, Texas;NA;Nearctic;Tropical and subtropical grasslands, savannas, and shrublands;Western Gulf coastal grasslands;2013;2015;;focal species study;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dalsgaard_et_al_2009_coastaldominica;3;2009;2000;;15.350;-61.300;Tropical;Dominica;DMA;Northern;;NA;Neotropic;Tropical and subtropical moist broadleaf forests;Windward Islands moist forests;2005;2005;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;05to06;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dalsgaard_et_al_2009_elfindominica;2;2009;2000;;15.250;-61.370;Tropical;Dominica;DMA;Northern;;NA;Neotropic;Tropical and subtropical moist broadleaf forests;Windward Islands moist forests;2005;2005;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;05to06;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dalsgaard_et_al_2009_elfingrenada;2;2009;2000;;12.100;-61.700;Tropical;Grenada;GRD;Northern;;NA;Neotropic;Tropical and subtropical moist broadleaf forests;Windward Islands moist forests;2006;2006;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;03to06;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dalsgaard_et_al_2009_elfinpuertorico;3;2009;2000;;18.130;-66.760;Tropical;Puerto Rico;PRI;Northern;;NA;Neotropic;Tropical and subtropical moist broadleaf forests;Puerto Rican moist forests;2006;2006;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;03to06;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dalsgaard_et_al_2009_forestgrenada;3;2009;2000;;12.100;-61.680;Tropical;Grenada;GRD;Northern;;NA;Neotropic;Tropical and subtropical moist broadleaf forests;Windward Islands moist forests;2006;2006;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;03to06;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dalsgaard_et_al_2009_highpuertorico;2;2009;2000;;17.950;-66.820;Tropical;Puerto Rico;PRI;Northern;;NA;Neotropic;Tropical and subtropical moist broadleaf forests;Puerto Rican moist forests;2006;2006;;;;no;NER;Mixed;no;;yes;family;Trochilidae;Birds;Hummingbirds;Hummingbirds;Ver-Aves-Hummingbirds;no;;no;;;;;03to06;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dasilva_2017;1;2017;2010;;40.316;-8.400;Temperate;Portugal;PRT;Northern;Larçã;EU;Palearctic;Mediterranean forests, woodlands, and shrub;Southwest Iberian Mediterranean sclerophyllous and mixed forests;2013;2014;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;06to12;01to05;;12;1;;;pollen detection;Yes;No;;76;31;;45;;0;0;100;100;;;;31;1;;;;;;;;;45;1;;
dattilo_et_al_2016;1;2016;2010;;19.590;-96.380;Tropical;Mexico;MEX;Northern;Centro de Investigaciones Costeras La Mancha;NA;Neotropic;Mangrove;Mesoamerican Gulf-Caribbean mangroves;;;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;;;;individual plant;Yes;Yes;;267;94;;173;;0;0;100;100;;;;94;1;;;;;;;;;173;1;;
devoto_et_al_2005_1;1;2005;2000;;-40.150;-71.716;Temperate;Argentina;ARG;Southern;Patagonia, Lago Queñi;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;139;23;;116;;0;0;100;100;;;;23;1;;;;;;;;;116;1;;
devoto_et_al_2005_2;1;2005;2000;;-40.733;-71.883;Temperate;Argentina;ARG;Southern;Patagonia, Paso Puyehue;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;55;17;;38;;0;0;100;100;;;;17;1;;;;;;;;;38;1;;
devoto_et_al_2005_3;1;2005;2000;;-39.566;-71.433;Temperate;Argentina;ARG;Southern;Patagonia, Lago Tromen;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;136;23;;113;;0;0;100;100;;;;23;1;;;;;;;;;113;1;;
devoto_et_al_2005_4;1;2005;2000;;-40.616;-71.583;Temperate;Argentina;ARG;Southern;Patagonia, Arroyo Pedregoso;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;64;16;;48;;0;0;100;100;;;;16;1;;;;;;;;;48;1;;
devoto_et_al_2005_5;1;2005;2000;;-40.650;-71.350;Temperate;Argentina;ARG;Southern;Patagonia, Villa Traful;SA;Neotropic;Temperate broadleaf and mixed forests;Valdivian temperate forests;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;110;28;;82;;0;0;100;100;;;;28;1;;;;;;;;;82;1;;
devoto_et_al_2005_6;1;2005;2000;;-39.800;-71.200;Temperate;Argentina;ARG;Southern;Patagonia, Lago Huechulafquen;SA;Neotropic;Temperate grasslands, savannas, and shrublands;Patagonian steppe;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;131;30;;101;;0;0;100;100;;;;30;1;;;;;;;;;101;1;;
devoto_et_al_2005_7;1;2005;2000;;-40.800;-71.100;Temperate;Argentina;ARG;Southern;Patagonia, La Lipela;SA;Neotropic;Temperate grasslands, savannas, and shrublands;Patagonian steppe;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;156;34;;122;;0;0;100;100;;;;34;1;;;;;;;;;122;1;;
devoto_et_al_2005_8;1;2005;2000;;-40.716;-71.083;Temperate;Argentina;ARG;Southern;Patagonia, Confluencia Traful;SA;Neotropic;Temperate grasslands, savannas, and shrublands;Patagonian steppe;;;;web data not available;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;;;;;;;;;;;;;;Yes;No;;138;21;;117;;0;0;100;100;;;;21;1;;;;;;;;;117;1;;
devoto_et_al_2011;1;2011;2010;;57.120;-4.710;Temperate;UK;GBR;Northern;Cairngorms National Park;EU;Palearctic;Temperate coniferous forests;Caledon conifer forests;2007;2008;summer;;;no;NER;Mixed;no;;yes;order;Lepidoptera;Insects;Moths and butterflies;Moths and butterflies;Inv-Lepidoptera;no;;no;;21to00;00to07;;8;6;8;3;;8;;pollen detection;Yes;No;;37;12;;25;;0;0;100;100;;;;12;1;;;;;;;;;25;1;;
devoto_et_al_2012;4;2012;2010;;57.166;-3.733;Temperate;UK;GBR;Northern;Cairngorms National Park;EU;Palearctic;Temperate coniferous forests;Caledon conifer forests;2007;2009;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;05to08;;;3;;15;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dicks_et_al_2002_hicking;21;2002;2000;;52.412;1.097;Temperate;UK;GBR;Northern;Shelfanger, Norfolk;EU;Palearctic;Temperate broadleaf and mixed forests;Celtic broadleaf forests;;;;insect size restrictions;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;yes;size > 3mm;no;;09to10.5;12,5to14;16to17,5;04to05;06to06;;;;6;27;individual flower;Yes;Yes;2;78;17;0;61;17;0;27,87;100;72,13;0;0;0;17;1;0;0;0;0;0;1;0;16;44;0,76;1;2
dicks_et_al_2002_shelfanger;21;2002;2000;;52.734;1.589;Temperate;UK;GBR;Northern; Hickling Broad National Nature Reserve, Norfolk;EU;Palearctic;Temperate broadleaf and mixed forests;Celtic broadleaf forests;;;;insect size restrictions;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;yes;size > 3mm;no;;09to10.5;12,5to14;16to17,5;04to05;06to06;;;;6;27;individual flower;Yes;Yes;2;52;16;0;36;9;0;25;100;75;0;0;0;16;1;0;0;0;0;0;0;0;9;27;0,8;1;2
dupont_&_nielsen_2006_isenbjerg;8;2006;2000;;56.072;9.275;Temperate;Denmark;DNK;Northern;Isen Bjerg;EU;Palearctic;Temperate broadleaf and mixed forests;Atlantic mixed forests;2004;2004;;data available at web of life;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;08to17;;;04to11;;;;;;66;individual plant;Yes;Yes;;205;19;;186;;0;0;100;100;;;;19;1;;;;;;;;;186;1;;
dupont_&_nielsen_2006_skovolesen;8;2006;2000;;56.104;9.107;Temperate;Denmark;DNK;Northern;Skov Olesen plantation;EU;Palearctic;Temperate broadleaf and mixed forests;Atlantic mixed forests;2004;2004;;data available at web of life;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;08to17;;;04to11;;;;;;72;individual plant;Yes;Yes;;266;30;;236;;0;0;100;100;;;;30;1;;;;;;;;;236;1;;
dupont_&_olesen_2009_hoerbylund;1;2009;2000;;56.141;9.390;Temperate;Denmark;DNK;Northern;Hoerbylunde;EU;Palearctic;Temperate broadleaf and mixed forests;Atlantic mixed forests;2005;2005;;data not available;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;08to17;;;04to10;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dupont_et_al_2003;32;2003;2000;;28.269;-16.636;Temperate;Spain;ESP;Northern;Teide National Park, Canary Islands;EU;Palearctic;Mediterranean forests, woodlands, and shrub;Canary Islands dry woodlands and forests;2001;2001;;;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;no;;07to21;;;05to06;;;;;15;145;individual plant;Yes;Yes;1;49;11;0;38;4;0;10,53;100;89,47;0;0;0;11;1;0;0;0;0;0;1;0;4;33;0,84;1;1
dupont_et_al_2011;1;2011;2010;;56.109;10.229;Temperate;Denmark;DNK;Northern;Moesgaard Skov;EU;Palearctic;Temperate broadleaf and mixed forests;Baltic mixed forests;2009;2009;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to16;;;7;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
dworschak_&_bluthgen_2010;1;2010;2010;;5.000;117.833;Tropical;Malaysia;MYS;Northern;Danum Valley Field Centre;AS;Indomalayan;Tropical and subtropical moist broadleaf forests;Borneo lowland rain forests;;;;experimental study;;no;NER;Mixed;no;;yes;tribe;Meliponini;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;07to16;;;;;;;;;;individual plant;Yes;Yes;;57;41;;16;;0;0;100;100;;;;41;1;;;;;;;;;16;1;;
ebeling_et_al_2008;2;2008;2000;;50.916;11.583;Temperate;Germany;DEU;Northern;Jena;EU;Palearctic;Temperate broadleaf and mixed forests;Western European broadleaf forests;2005;2006;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to17;;;05to06;8;;3;;;;individual plant;Yes;Yes;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
ekroos_et_al_2013;1;2013;2010;;55.983;13.500;Temperate;Sweden;SWE;Northern;Scania;EU;Palearctic;Temperate broadleaf and mixed forests;Baltic mixed forests;2011;2011;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;07to08;;;;;;;individual plant;Yes;Yes;;16;13;;3;;0;0;100;100;;;;13;1;;;;;;;;;3;1;;
elberling_&_olesen_1999;45;1999;1990;;68.359;18.484;Temperate;Sweden;SWE;Northern;Latnjajaure;EU;Palearctic;Tundra;Scandinavian Montane Birch forest and grasslands;;;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;05to08;;;;;;230;individual plant;Yes;Yes;1;141;23;1;118;51;4,35;43,22;95,65;56,78;0;0;1;22;0,96;0;0;0;8;0;2;9;32;67;0,57;1;1
escobedo-kenefic_et_al_2020;1;2020;2020;;14.583;-90.750;Tropical;Guatemala;GTM;Northern;Sacatepéquez and Chimaltenango departments;NA;Neotropic;Tropical and subtropical coniferous forests;Central American pine-oak forests;2012;2012;;;;no;NER;Mixed;no;;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;09to13;;;03to07;;;;;;;individual plant;Yes;Yes;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
fang_&_huang_2012;1;2012;2010;;27.901;99.638;Temperate;China;CHN;Northern;Shangri-La Alpine Botanical Garden;AS;Palearctic;Temperate coniferous forests;Hengduan Mountains subalpine conifer forests;2007;2010;;mesma área de estudo mas com recortes temporais diferentes;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to18;;;07to08;;;8;4;;;individual plant;Yes;Yes;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
fang_&_huang_2013;1;2013;2010;;27.901;99.638;Temperate;China;CHN;Northern;Shangri-La Alpine Botanical Garden;AS;Palearctic;Temperate coniferous forests;Hengduan Mountains subalpine conifer forests;2010;2010;;mesma área de estudo mas com recortes temporais diferentes;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;06to08;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
fang_&_huang_2016;2;2016;2010;;27.901;99.638;Temperate;China;CHN;Northern;Shangri-La Alpine Botanical Garden;AS;Palearctic;Temperate coniferous forests;Hengduan Mountains subalpine conifer forests;2008;2010;;mesma área de estudo mas com recortes temporais diferentes;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;;;;;;;;individual plant;Yes;Yes;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
fantinato_2019;1;2019;2010;;45.619;12.945;Temperate;Italy;ITA;Northern;North Adriatic coast;EU;Palearctic;Temperate broadleaf and mixed forests;Po Basin mixed forests;2018;2018;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;10to16;;;4;;;;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
fantinato_et_al_2018;1;2018;2010;;45.439;12.449;Temperate;Italy;ITA;Northern;Cavallino, North Adriatic coast;EU;Palearctic;Temperate broadleaf and mixed forests;Po Basin mixed forests;2017;2017;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;10to16;;;04to08;;;;;9;;individual plant;Yes;No;;77;18;;59;;0;0;100;100;;;;18;1;;;;;;;;;59;1;;
fantinato_et_al_2019_a;1;2019;2010;;45.312;11.674;Temperate;Italy;ITA;Northern;Euganean Hills;EU;Palearctic;Temperate broadleaf and mixed forests;Po Basin mixed forests;2016;2016;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;04to09;;;6;;12;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
fantinato_et_al_2019_b;1;2019;2010;;45.312;11.674;Temperate;Italy;ITA;Northern;Euganean Hills;EU;Palearctic;Temperate broadleaf and mixed forests;Po Basin mixed forests;2016;2016;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;10to16;;;04to07;;;4;;7;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
ferreira_et_al_2019;1;2019;2010;;-13.333;-39.183;Tropical;Brazil;BRA;Southern;Bahia;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Bahia coastal forests;2011;2011;;different sites;;no;NER;Mixed;no;;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;06to17;;;01to04;08to11;;8;;;;individual plant;Yes;Yes;;119;59;;60;;0;0;100;100;;;;59;1;;;;;;;;;60;1;;
ferrero_et_al_2013;1;2013;2010;;40.165;-8.407;Temperate;Portugal;PRT;Northern;Castelo Viegas, Coimbra;EU;Palearctic;Mediterranean forests, woodlands, and shrub;Southwest Iberian Mediterranean sclerophyllous and mixed forests;2011;2011;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to18;;;3;;;1;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
florez-gomez_et_al_2020;1;2020;2020;;11.262;-74.183;Tropical;Colombia;COL;Northern;Taganga, Magdalena department;SA;Neotropic;Deserts and xeric shrublands;Guajira-Barranquilla xeric scrub;2016;2017;;;;no;NER;Mixed;no;;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;06to13;;;09to12;01to03;;7;;12;42;individual plant;Yes;Yes;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
forup_&_memmott_2005_1;2;2005;2000;;51.433;-2.650;Temperate;UK;GBR;Northern;Bristol;EU;Palearctic;Temperate broadleaf and mixed forests;English Lowlands beech forests;2000;2000;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;05to07;;;3;;6;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
forup_&_memmott_2005_2;2;2005;2000;;51.400;-2.583;Temperate;UK;GBR;Northern;Bristol;EU;Palearctic;Temperate broadleaf and mixed forests;English Lowlands beech forests;2000;2000;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;05to06;;;2;;4;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
forup_&_memmott_2005_3;2;2005;2000;;51.433;-2.650;Temperate;UK;GBR;Northern;Bristol;EU;Palearctic;Temperate broadleaf and mixed forests;English Lowlands beech forests;2000;2000;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;05to07;;;3;;6;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
forup_&_memmott_2005_4;2;2005;2000;;51.450;-2.600;Temperate;UK;GBR;Northern;Bristol;EU;Palearctic;Temperate broadleaf and mixed forests;English Lowlands beech forests;2000;2000;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;05to07;;;3;;6;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
forup_et_al_2008;2;2008;2000;;50.802;-2.304;Temperate;UK;GBR;Northern;Poole Basin, Dorset;EU;Palearctic;Temperate broadleaf and mixed forests;English Lowlands beech forests;2001;2004;;sampling with temporal spacing;;no;NER;Mixed;yes;entomophylous;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;04to09;05to09;;10;;;;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
freitas_&_sazima_2006;2;2006;2000;;-22.566;-44.750;Tropical;Brazil;BRA;Southern;Parque Nacional da Serra da Bocaina;SA;Neotropic;Tropical and subtropical moist broadleaf forests;Alto Paraná Atlantic forests;1998;2000;;;;no;NER;Mixed;no;;yes;NER;Animalia;Mixed;Mixed;Mixed;Mixed;no;;no;;;;;12;01to12;;39;3;211;;individual plant;Yes;Yes;;124;124;;;;0;#DIV/0!;100;#DIV/0!;;;;124;1;;;;;;;;;0;#DIV/0!;;
frund_et_al_2010;4;2010;2010;;50.000;10.000;Temperate;Germany;DEU;Northern;Würzburg ;EU;Palearctic;Temperate broadleaf and mixed forests;Western European broadleaf forests;2006;2006;;;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;09to16;;;06to08;;;3;;;;individual plant;Yes;Yes;;208;77;;131;;0;0;100;100;;;;77;1;;;;;;;;;131;1;;
