Web_Code;Use_Frequency;Publi_Year;Publi_Decade;Alt_Orig(m);LAT;LONG;Region;Country;ISO3;Hemisphere;Locality;Continent;Realm_WWF;Biome_WWF;Ecoregion_WWF;First_Sampling_Year;Last_Sampling_Year;Seasons;Obs;Metanetwork;Plant_taxon_criterion?;Plant_Taxonomic_level;Plant_taxon;Plant_trait_criterion?;Plant_selected_trait;Animal_taxon_criterion?;Animal_Taxonomic_level;Animal_taxon;Animal_taxon_2;Animal_taxon_3;Animal_taxon_4;Animal_taxon_5;Animal_trait_criterion?;Animal_selected_trait;Interaction-based_criterion?;Interaction-criterion;Sampling_hour_1;Sampling_hour_2;Sampling_hour_3;Sampling_months_1;Sampling_months_2;Sampling_months_3;Sampling_duration_months;Sampling_duration_years;Sampling_duration_days;Sampling_duration_hours;Sampling_unit;Used_Chapter_1;Data_Availability;Interact_Data;Network_Size(N);Rich_Plants;Plan_Not_Id;Rich_Users;User_Not_Id;Plan_Not_Id (%);User_Not_Id (%);Resol_Taxon_Plant_1;Resol_Taxon_User_1;Plant_No_Taxon;Plant_ID_Family;Plant_ID_Genus;Plant_ID_Species;Resol_Taxon_Plant_2;User_No_Taxon;User_ID_Phylum;User_ID_Class;User_ID_order;User_ID_Superfamily;User_ID_family;User_ID_Tribe;User_ID_Genus;User_ID_Species;Resol_Taxon_User_2;Dados_Abund_Plant;Dados_Abund_Users
adedoja_et_al_2018_3;1;2018;2010;1303;-33.951;19.517;Temperate;South Africa;ZAF;Southern;Jonaskop Mountain ;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Montane fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to10;;;3;;;19;individual plant;Yes;Yes;2;38;12;5;26;25;41,67;96,15;58,33;3,85;0;0;5;7;0,71;0;0;0;0;0;9;0;16;1;0,38;1;2
adedoja_et_al_2018_4;1;2018;2010;1576;-33.969;19.495;Temperate;South Africa;ZAF;Southern;Jonaskop Mountain ;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Montane fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to10;;;3;;;19;individual plant;Yes;Yes;2;11;5;2;6;5;40;83,33;60;16,67;0;0;2;3;0,71;0;0;0;0;0;1;0;4;1;0,46;1;2
adedoja_et_al_2019_burnedslope;1;2019;2010;250;-34.076;18.889;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;25;10;4;15;13;40;86,67;60;13,33;0;0;4;6;0,71;0;0;0;0;0;7;0;6;2;0,36;1;2
adedoja_et_al_2019_burnedtop;1;2019;2010;400;-34.076;18.889;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;25;9;3;16;14;33,33;87,5;66,67;12,5;0;0;3;6;0,75;0;0;0;0;0;6;0;8;2;0,38;1;2
adedoja_et_al_2019_burnedvalley;1;2019;2010;200;-34.076;18.889;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;35;12;8;23;20;66,67;86,96;33,33;13,04;0;0;8;4;0,6;0;0;0;0;0;12;0;8;3;0,34;1;2
adedoja_et_al_2019_refugesslopes;1;2019;2010;250;-34.076;18.889;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;34;16;8;18;15;50;83,33;50;16,67;0;0;8;8;0,67;0;0;0;0;0;9;0;6;3;0,35;1;2
adedoja_et_al_2019_refugestop;1;2019;2010;400;-34.076;18.889;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;33;13;6;20;18;46,15;90;53,85;10;0;0;6;7;0,68;0;0;0;0;0;9;0;9;2;0,36;1;2
adedoja_et_al_2019_refugesvalley;1;2019;2010;200;-34.076;18.889;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;32;13;5;19;17;38,46;89,47;61,54;10,53;0;0;5;8;0,72;0;0;0;0;0;10;0;7;2;0,34;1;2
adedoja_et_al_2019_unburnedslope;1;2019;2010;250;-34.071;18.888;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;27;9;4;18;16;44,44;88,89;55,56;11,11;0;0;4;5;0,69;0;0;0;0;0;12;0;4;2;0,31;1;2
adedoja_et_al_2019_unburnedtop;1;2019;2010;400;-34.071;18.888;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;40;15;10;25;23;66,67;92;33,33;8;0;0;10;5;0,6;0;0;0;0;0;11;0;12;2;0,36;1;2
adedoja_et_al_2019_unburnedvalley;1;2019;2010;200;-34.071;18.888;Temperate;South Africa;ZAF;Southern;Western Cape Province;AF;Afrotropical;Mediterranean forests, woodlands, and shrub;Lowland fynbos and renosterveld;2017;2017;;altitudinal variation;;no;NER;Mixed;no;;yes;class;Insecta;Insects;Mixed;Insects;Inv-Insects;no;;no;;;;;08to11;;;4;;;5;individual plant;Yes;Yes;2;22;7;4;15;12;57,14;80;42,86;20;0;0;4;3;0,64;0;0;0;0;0;4;0;8;3;0,43;1;2
adhikari_et_al_2019_1;1;2019;2010;960;48.036;-110.014;Temperate;USA;USA;Northern;Big Sandy - Montana;NA;Nearctic;Temperate grasslands, savannas, and shrublands;Northern short grasslands;2013;2015;;;;no;NER;Mixed;yes;forb species;yes;family;Apidae;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;08to16.5;;;06to08;;;9;3;9;54;individual plant;Yes;Yes;1;13;4;0;9;4;0;44,44;100;55,56;;;;4;1;0;0;0;0;0;0;0;4;5;0,69;1;1
adhikari_et_al_2019_2;1;2020;2020;960;48.036;-110.014;Temperate;USA;USA;Northern;Big Sandy - Montana;NA;Nearctic;Temperate grasslands, savannas, and shrublands;Northern short grasslands;2013;2015;;;;no;NER;Mixed;yes;forb species;yes;family;Apidae;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;08to16.5;;;06to08;;;9;3;9;54;individual plant;Yes;Yes;1;20;8;0;12;6;0;50;100;50;;;;8;1;0;0;0;0;0;1;0;5;6;0,6;1;1
adhikari_et_al_2019_3;1;2021;2020;960;48.036;-110.014;Temperate;USA;USA;Northern;Big Sandy - Montana;NA;Nearctic;Temperate grasslands, savannas, and shrublands;Northern short grasslands;2013;2015;;;;no;NER;Mixed;yes;forb species;yes;family;Apidae;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;08to16.5;;;06to08;;;9;3;9;54;individual plant;Yes;Yes;1;22;5;0;17;8;0;47,06;100;52,94;;;;5;1;0;0;0;0;0;1;0;7;9;0,63;1;1
aguado_et_al_2019;1;2019;2010;1031;3.240;-76.33;Tropical;Colombia;COL;Northern;Valle del Cauca;SA;Neotropic;Tropical and subtropical dry broadleaf forests;Cauca Valley dry forests;2017;2017;;;;no;NER;Mixed;yes;cultivated plants;yes;order;Hymenoptera;Insects;Hymenop. mixed;Bees and wasps;Inv-Hymenoptera;no;;yes;pollination;08to12;;;02to03;;;2;;24;96;individual plant;Yes;No;;0;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;;;0;#DIV/0!;;;;;;;;;0;#DIV/0!;;
aguiar_2003;2;2003;2000;;-12.7;-39.766;Tropical;Brazil;BRA;Southern;Itatim - BA;SA;Neotropic;Deserts and xeric shrublands;Caatinga;1996;1997;;;;no;NER;Mixed;no;;yes;superfamily;Apoidea;Insects;Bees;Bees;Inv-Hymenoptera-Bees;no;;no;;06to12;12to18;;09to12;01to11;;15;;15;180;individual plant;Yes;Yes;2;83;46;2;37;6;4,35;16,22;95,65;83,78;0;0;2;44;0,96;0;0;0;0;0;0;0;6;31;0,86;1;2
